x,y,z,sum_intensity_in_photons,bg_per_punctum,bg_per_pixel,zi,zf,overlap_with_bulk_stain,image_filename
95.0,124.0,10.0,584.5537109375,1226.22119140625,20.43701934814453,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
94.0,414.0,10.0,240.36131286621094,1519.4896240234375,25.324827194213867,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
94.0,732.0,10.0,253.9761962890625,1596.073486328125,26.601224899291992,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
95.0,761.0,10.0,526.501708984375,1515.6275634765625,25.260459899902344,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
96.0,377.0,10.0,209.3041229248047,1499.314208984375,24.988569259643555,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
95.0,908.0,10.0,282.6926574707031,1538.0753173828125,25.63458824157715,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
96.0,1073.0,10.0,212.53306579589844,1300.94140625,21.682357788085938,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
96.0,1091.0,10.0,337.47509765625,1211.6490478515625,20.194150924682617,10.0,13.0,true,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
95.0,1116.0,10.0,78.91659545898438,1353.122802734375,22.552047729492188,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
97.0,401.0,10.0,434.25567626953125,1533.4326171875,25.55721092224121,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
97.0,1101.0,10.0,194.27499389648438,1387.0560302734375,23.11760139465332,10.0,13.0,true,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
99.0,63.0,10.0,290.9248962402344,1241.9736328125,20.699560165405273,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
